name,type
GSM5518596_rGBM-01-A,rGBM
GSM5518597_rGBM-01-B,rGBM
GSM5518598_rGBM-01-C,rGBM
GSM5518599_rGBM-01-D,rGBM
GSM5518600_ndGBM-01-A,ndGBM
GSM5518601_ndGBM-01-C,ndGBM
GSM5518602_ndGBM-01-D,ndGBM
GSM5518603_ndGBM-01-F,ndGBM
GSM5518604_ndGBM-11-A,ndGBM
GSM5518605_ndGBM-11-B,ndGBM
GSM5518606_ndGBM-11-C,ndGBM
GSM5518607_ndGBM-11-D,ndGBM
GSM5518608_ndGBM-02-1,ndGBM
GSM5518609_ndGBM-02-2,ndGBM
GSM5518610_ndGBM-02-4,ndGBM
GSM5518611_ndGBM-02-5,ndGBM
GSM5518612_rGBM-02-2,rGBM
GSM5518613_rGBM-02-3,rGBM
GSM5518614_rGBM-02-4,rGBM
GSM5518615_rGBM-02-5,rGBM
GSM5518616_rGBM-03-1,rGBM
GSM5518617_rGBM-03-2,rGBM
GSM5518618_rGBM-03-3,rGBM
GSM5518619_rGBM-04-1,rGBM
GSM5518620_rGBM-04-2,rGBM
GSM5518621_rGBM-04-3,rGBM
GSM5518622_rGBM-04-4,rGBM
GSM5518623_ndGBM-03-1,ndGBM
GSM5518624_ndGBM-03-2,ndGBM
GSM5518625_ndGBM-03-3,ndGBM
GSM5518626_rGBM-05-1,rGBM
GSM5518627_rGBM-05-2,rGBM
GSM5518628_rGBM-05-3,rGBM
GSM5518629_ndGBM-10,ndGBM
GSM5518630_LGG-04-1,LGG
GSM5518631_LGG-04-2,LGG
GSM5518632_LGG-04-3,LGG
GSM5518633_ndGBM-04,ndGBM
GSM5518634_ndGBM-05,ndGBM
GSM5518635_ndGBM-06,ndGBM
GSM5518636_ndGBM-07,ndGBM
GSM5518637_ndGBM-08,ndGBM
GSM5518638_LGG-03,LGG
GSM5518639_ndGBM-09,ndGBM
